111,2213,4
111,7974,3
111,4554,3
111,7827,3
112,5046,3
112,6882,3
112,7076,3
112,7525,3
121,7460,4
121,8243,5
121,5534,4
121,2548,4
122,5735,5
122,5116,4
122,221,5
122,5216,3
131,387,3
131,390,3
131,461,4
131,572,3
132,757,2
132,760,2
132,783,3
132,938,2
211,1057,3
211,4719,3
211,4901,3
211,7945,3
212,2684,3
212,2995,3
212,178,3
212,7265,3
221,7460,3
221,8243,5
221,346,4
221,2776,3
222,4909,4
222,7026,3
222,7741,5
222,7936,4
231,3974,2
231,5184,3
231,7008,3
231,3866,2
232,5528,1
232,7171,1
232,5116,1
232,2888,2
311,1354,3
311,4543,3
311,5754,3
311,97,4
312,4713,2
312,3862,3
312,8591,3
312,3824,2
321,8305,5
321,3864,3
321,7435,4
321,8327,4
322,5363,3
322,754,4
322,1330,3
322,1941,4
331,4139,3
331,4326,2
331,4566,3
331,4586,2
332,5111,2
332,5350,2
332,7493,2
332,8345,2
411,2368,2
411,7390,3
411,4901,3
411,7945,3
412,2995,3
412,2683,2
412,2186,2
412,2966,2
421,5078,3
421,8313,5
421,3066,5
421,4883,5
422,1057,3
422,4719,3
422,5319,3
422,7527,3
431,8155,3
431,4423,2
431,369,3
431,827,3
432,3991,2
432,4158,2
432,4340,3
432,4578,1
511,346,4
511,2776,4
511,3260,4
511,4137,4
512,7741,3
512,7936,3
512,8366,4
512,2548,3
521,178,4
521,7265,4
521,8464,5
521,115,4
522,1794,4
522,8297,4
522,5534,4
522,922,4
531,4078,3
531,4364,3
531,5367,3
531,29,3
532,1181,3
532,1357,2
532,2398,2
532,4132,3
611,244,4
611,1763,4
611,4378,4
611,5254,3
612,8595,3
612,3066,3
612,4883,3
612,8091,2
621,1767,5
621,2912,5
621,5603,5
621,7021,5
622,8422,4
622,8518,4
622,369,4
622,827,4
631,3991,3
631,4158,3
631,4340,2
631,4578,4
632,5420,3
632,6529,3
632,7315,2
632,7491,3
711,397,3
711,5246,4
711,7845,3
711,7938,4
712,277,3
712,1149,2
712,8305,3
712,1354,2
721,1816,3
721,3912,4
721,8167,3
721,3824,3
722,1330,3
722,1941,4
722,1975,3
722,2462,3
731,4566,3
731,4586,3
731,4602,1
731,4881,3
732,7493,2
732,8345,2
732,8581,2
732,8606,2
811,5078,3
811,8313,4
811,927,4
811,2725,4
812,244,4
812,1763,3
812,4378,4
812,5254,2
821,8595,5
821,5319,4
821,2683,4
821,3066,5
822,8331,4
822,1700,5
822,4269,4
822,4789,5
831,7330,3
831,8194,2
831,8274,3
831,221,2
832,238,2
832,338,3
832,387,3
832,390,3
911,43,4
911,370,4
911,2935,3
911,2969,4
