111,7800,4
112,7800,4
121,7800,5
122,7800,5
131,7800,4
132,7800,3
111,3880,4
112,3880,4
121,3880,5
122,3880,4
131,3880,3
132,3880,3
111,4545,2
112,4545,2
121,4545,2
122,4545,2
131,4545,2
132,4545,1
111,8569,4
112,8569,4
121,8569,5
122,8569,4
131,8569,3
132,8569,3
111,5754,4
112,5754,3
121,5754,4
122,5754,4
131,5754,3
132,5754,2
111,764,3
112,764,3
121,764,4
122,764,4
131,764,3
132,764,2
111,2782,4
112,2782,3
121,2782,4
122,2782,4
131,2782,3
132,2782,2
111,3932,4
112,3932,3
121,3932,4
122,3932,4
131,3932,3
132,3932,2
111,6479,2
112,6479,2
121,6479,3
122,6479,3
131,6479,2
132,6479,1
111,6533,4
112,6533,3
121,6533,4
122,6533,4
131,6533,3
132,6533,2
111,7208,4
112,7208,3
121,7208,4
122,7208,4
131,7208,3
132,7208,3
111,7708,3
112,7708,2
121,7708,3
122,7708,3
131,7708,2
132,7708,1
111,8052,4
112,8052,3
121,8052,5
122,8052,4
131,8052,3
132,8052,2
111,8142,3
112,8142,2
121,8142,3
122,8142,3
131,8142,2
132,8142,2
111,8596,3
112,8596,2
121,8596,3
122,8596,3
131,8596,2
132,8596,2
211,8495,4
212,8495,3
221,8495,4
222,8495,4
231,8495,3
232,8495,3
211,561,3
212,561,3
221,561,4
222,561,4
231,561,3
232,561,2
211,2671,3
212,2671,3
221,2671,4
222,2671,4
231,2671,3
232,2671,2
211,6882,4
212,6882,3
221,6882,5
222,6882,5
231,6882,3
232,6882,2
211,7525,4
212,7525,3
221,7525,4
222,7525,4
231,7525,3
232,7525,3
211,7807,3
212,7807,3
221,7807,4
222,7807,3
231,7807,2
232,7807,2
211,1255,4
212,1255,4
221,1255,5
222,1255,5
231,1255,4
232,1255,3
211,7460,3
212,7460,2
221,7460,3
222,7460,3
231,7460,2
232,7460,2
211,8243,4
212,8243,3
221,8243,5
222,8243,5
231,8243,3
232,8243,2
211,7980,3
212,7980,3
221,7980,4
222,7980,3
231,7980,2
232,7980,2
211,5735,4
212,5735,3
221,5735,5
222,5735,5
231,5735,3
232,5735,2
211,5116,3
212,5116,3
221,5116,4
222,5116,3
231,5116,2
232,5116,2
211,238,4
212,238,3
221,238,5
222,238,5
231,238,3
232,238,2
211,338,3
212,338,3
221,338,4
222,338,4
231,338,3
232,338,2
211,390,3
212,390,3
221,390,4
222,390,4
231,390,3
232,390,2
311,1087,3
312,1087,2
321,1087,3
322,1087,3
331,1087,2
332,1087,1
311,1187,3
312,1187,3
321,1187,4
322,1187,4
331,1187,3
332,1187,2
311,332,4
312,332,4
321,332,5
322,332,5
331,332,4
332,332,3
311,1249,3
312,1249,3
321,1249,4
322,1249,4
331,1249,3
332,1249,2
311,3738,3
312,3738,3
321,3738,4
322,3738,4
331,3738,3
332,3738,2
311,8160,4
312,8160,3
321,8160,4
322,8160,4
331,8160,3
332,8160,3
311,7952,3
312,7952,2
321,7952,3
322,7952,3
331,7952,2
332,7952,1
311,207,4
312,207,4
321,207,5
322,207,5
331,207,4
332,207,3
311,140,3
312,140,2
321,140,3
322,140,3
331,140,2
332,140,1
311,344,4
312,344,3
321,344,4
322,344,4
331,344,3
332,344,2
311,380,4
312,380,3
321,380,4
322,380,4
331,380,3
332,380,2
311,474,3
312,474,2
321,474,3
322,474,3
331,474,2
332,474,1
311,1372,4
312,1372,3
321,1372,4
322,1372,4
331,1372,3
332,1372,2
311,1417,3
312,1417,2
321,1417,3
322,1417,3
331,1417,2
332,1417,1
311,2507,3
312,2507,2
321,2507,3
322,2507,3
331,2507,2
332,2507,1
411,1700,3
412,1700,2
421,1700,3
422,1700,3
431,1700,2
432,1700,1
411,4269,4
412,4269,3
421,4269,4
422,4269,4
431,4269,3
432,4269,2
411,7330,3
412,7330,3
421,7330,4
422,7330,3
431,7330,3
432,7330,2
411,8274,4
